system:index,Blue,Elevation,Green,NDBI,NDVI,NIR,NightLights,Population,Red,SWIR,Urban,.geo
0,0.07940000000000003,6,0.06361499999999998,-0.42188707,-0.36076927,0.15862749999999998,0.0,0.45219487,0.33768000000000004,0.06449500000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.293183490099811,6.430275551020153]}"
1,0.11259249999999998,13,0.10516750000000002,-0.3973783,-0.24257323,0.18775000000000003,7.0,2.1942284,0.30800750000000005,0.08096750000000003,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.923073018760717,6.452913096179965]}"
2,0.07752999999999999,2,0.07208500000000001,-0.38932237,-0.40602627,0.0959275,14.0,6.73267,0.22707500000000003,0.04216500000000001,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.4235244635437025,6.567448294905204]}"
3,0.07781875000000002,14,0.07515124999999998,-0.38146064,-0.25028017,0.15596,8.5,8.731571,0.26008875,0.06983,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.61297915696451,6.573107681195157]}"
4,0.08357999999999999,16,0.067245,-0.43151236,-0.29009658,0.16288999999999998,0.0,1.406074,0.2960175,0.06468750000000001,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.147925908657685,6.424077175559729]}"
5,0.05608000000000002,11,0.04659250000000001,-0.34839904,-0.26908278,0.1458125,3.5,1.8276519,0.2531725,0.07046249999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.6404676046585673,6.626467609071857]}"
6,0.07422999999999999,12,0.06472875,-0.4167194,-0.2141878,0.14689875,3.5,6.581214,0.22697875,0.060480000000000006,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.026558939491286,6.418687283855012]}"
7,0.10189500000000001,23,0.09900750000000003,-0.30681744,-0.09715852,0.20251750000000002,0.0,1.5548606,0.24610500000000002,0.10742249999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.886246666393668,6.62431165238997]}"
8,0.06573249999999997,7,0.05005749999999998,-0.3757764,-0.34003726,0.08638499999999999,0.0,0.76806664,0.17540250000000002,0.03919500000000001,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.22500136003514,6.427850099753031]}"
9,0.12049874999999999,13,0.11101125,-0.3124242,-0.24833247,0.23404625,0.0,0.7764947,0.3886925,0.12261624999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.98757663044235,6.533761471750722]}"
10,0.0865225,11,0.07084750000000001,-0.38390565,-0.32140473,0.1664925,20.5,9.558751,0.324205,0.07412000000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2453885427028015,6.480671038459258]}"
11,0.06452249999999998,8,0.051570000000000005,-0.43733227,-0.41859484,0.07230500000000001,0.0,0.7872964,0.17642000000000002,0.028304999999999997,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.836390168125035,6.50923746449426]}"
12,0.12428,8,0.11680000000000001,-0.341382,-0.20738725,0.2134625,0.0,0.9743092,0.3251675,0.10481000000000001,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.997547930096077,6.559632951933365]}"
13,0.121145,8,0.11572749999999998,-0.32401222,-0.20578662,0.20738499999999999,62.5,111.1422,0.31485500000000005,0.10588249999999999,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.3653136331327578,6.581731507922704]}"
14,0.08880500000000002,7,0.09389249999999999,-0.26889643,0.11224672,0.256555,25.0,11.278644,0.20477250000000002,0.14782,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.531861286808517,6.432970496872512]}"
15,0.0991725,4,0.08784249999999999,-0.27925202,-0.3787454,0.0750825,0.0,2.9037976,0.16663,0.04230249999999999,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.223384392523725,6.408715984201285]}"
16,0.14124750000000003,21,0.1400925,-0.28877336,-0.24937415,0.18777749999999999,0.0,1.2551315,0.312545,0.10362749999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.815100095891402,6.640211832918886]}"
17,0.08921749999999999,19,0.07864375,-0.38461798,-0.2920757,0.15387,8.0,7.680222,0.2808375,0.06838624999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.5685125504005937,6.65422555135115]}"
18,0.08758125,6,0.0773375,-0.39369583,-0.270821,0.14566125,0.0,0.67817134,0.25386000000000003,0.0633675,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.8838212151265457,6.552895587302468]}"
19,0.078685,14,0.06694250000000002,-0.41410562,-0.3273136,0.14471250000000002,4.5,3.0748236,0.28554,0.0599575,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.6159435974021044,6.437282410236286]}"
20,0.11358249999999998,5,0.12568249999999997,-0.1255402,0.13894892,0.2773725,0.0,3.900907,0.20969500000000002,0.2154975,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.004015800141738,6.4283890889235025]}"
