system:index,Blue,Elevation,Green,NDBI,NDVI,NIR,NightLights,Population,Red,SWIR,Urban,.geo
0,0.091335,6,0.06694250000000002,-0.36511886,-0.31722212,0.19201250000000003,0.0,0.4338149,0.3704325,0.08929999999999999,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.293183490099811,6.430275551020153]}"
1,0.0479125,13,0.033172499999999994,-0.45929018,-0.35247308,0.10659750000000001,6.5,2.5557714,0.2226475,0.03949749999999999,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.923073018760717,6.452913096179965]}"
2,0.13136124999999998,2,0.1301375,-0.2634654,-0.27365875,0.14948375,12.0,8.557685,0.26212375,0.08714125,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.4235244635437025,6.567448294905204]}"
3,0.06786375,14,0.06569124999999998,-0.38067442,-0.2387885,0.15404874999999998,8.0,6.5334806,0.2506975,0.06910124999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.61297915696451,6.573107681195157]}"
4,0.07330874999999998,16,0.06643375000000001,-0.37716973,-0.27189422,0.17112624999999998,0.0,1.4643732,0.2989325,0.0773925,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.147925908657685,6.424077175559729]}"
5,0.08763625,11,0.07597625,-0.3419134,-0.25925115,0.1773825,0.0,1.4447083,0.301545,0.08698999999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.6404676046585673,6.626467609071857]}"
6,0.050854999999999984,12,0.03938749999999999,-0.474523,-0.30500633,0.15659250000000002,5.0,6.9653788,0.2940375,0.055804999999999993,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.026558939491286,6.418687283855012]}"
7,0.11025499999999999,23,0.09588625,-0.33309215,-0.23249924,0.2164875,0.0,1.5537419,0.34764875,0.1083025,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.886246666393668,6.62431165238997]}"
8,0.07691124999999999,7,0.063945,-0.34189305,-0.24239154,0.18211249999999998,0.0,0.9031827,0.29864375000000004,0.08931375,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.22500136003514,6.427850099753031]}"
9,0.09026250000000002,13,0.08022499999999999,-0.32280934,-0.19749193,0.20022125,0.0,0.79437786,0.2987675,0.10249999999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.98757663044235,6.533761471750722]}"
10,0.047967499999999996,8,0.03534499999999999,-0.44203076,-0.30658978,0.13981749999999998,0.0,0.99843687,0.2634575,0.05409999999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.836390168125035,6.50923746449426]}"
11,0.07835500000000001,8,0.0772275,-0.2617487,-0.08649404,0.2091175,0.0,0.9849971,0.24871749999999998,0.12235499999999999,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.997547930096077,6.559632951933365]}"
12,0.056327499999999975,8,0.057730000000000004,-0.3501498,-0.32764086,0.0630925,63.0,115.88059,0.12458249999999998,0.03036749999999999,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.3653136331327578,6.581731507922704]}"
13,0.1355,7,0.14751750000000002,-0.1239556,0.11257599,0.3173025,21.0,10.994614,0.25309,0.247315,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.531861286808517,6.432970496872512]}"
14,0.10821999999999998,4,0.10717500000000002,-0.25300223,-0.017621389,0.20007000000000003,0.0,2.0428808,0.20724750000000003,0.11927500000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.223384392523725,6.408715984201285]}"
15,0.06798749999999998,21,0.061951249999999985,-0.34030443,-0.32270586,0.1140775,0.0,1.2349676,0.222785,0.05614875000000001,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.815100095891402,6.640211832918886]}"
16,0.12669999999999998,19,0.11295,-0.28768507,-0.31300274,0.18469750000000001,4.5,5.255192,0.3529975,0.10216999999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.5685125504005937,6.65422555135115]}"
17,0.10157875000000002,48,0.09634000000000001,-0.28825012,-0.14655575,0.15657875,2.0,3.6799226,0.21035500000000001,0.08650875,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.6253759078853594,6.656651002618273]}"
18,0.05030499999999999,6,0.033420000000000005,-0.4175815,-0.32716155,0.16915999999999998,0.0,0.6463696,0.33366500000000004,0.0695,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.8838212151265457,6.552895587302468]}"
19,0.073295,14,0.06225375,-0.40021807,-0.31934112,0.1573075,4.0,2.9663136,0.30491375,0.06738249999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.6159435974021044,6.437282410236286]}"
20,0.10636375,5,0.12113125000000002,-0.16679172,0.039068732,0.25562,0.0,3.4930975,0.2363975,0.18253875000000003,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.004015800141738,6.4283890889235025]}"
21,0.0869625,-1,0.08377249999999997,-0.2520436,-0.13758163,0.16522750000000003,0.0,1.1990281,0.217945,0.09870499999999999,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.7654186863977412,6.452913096179965]}"
22,0.08924499999999999,8,0.0810775,-0.29680052,-0.19520988,0.1416325,0.0,0.8476331,0.21034125,0.07680125000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.1107356558951365,6.437282410236286]}"
23,0.061305,7,0.044749999999999984,-0.44836682,-0.31763116,0.15785749999999998,0.0,3.3783844,0.3048175,0.06012250000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.837104246070479,6.40709901668987]}"
24,0.12713999999999998,10,0.11058499999999999,-0.24886735,-0.07757372,0.21811000000000003,6.5,9.078487,0.254795,0.13118249999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.4537078570901185,6.673359666902896]}"
25,0.06057625,18,0.048916249999999994,-0.3723713,-0.31185576,0.13606375,0.0,1.0369947,0.2593875,0.06222625,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.864148110404328,6.664735840175348]}"
26,0.06934874999999999,11,0.05679500000000001,-0.39110386,-0.2841117,0.18215375,0.0,0.9989994,0.326735,0.07973,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.041475547489521,6.618921760685253]}"
27,0.07612750000000001,3,0.056630000000000014,-0.3398938,-0.18660887,0.18483500000000003,0.0,0.7325558,0.269645,0.09105999999999997,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.20937067409146,6.442402807355767]}"
28,0.0778325,12,0.075605,-0.30459058,-0.309168,0.10017625,4.5,2.8387728,0.18983999999999998,0.053398749999999995,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.6585237418693697,6.651800100084027]}"
29,0.07588,5,0.05885750000000001,-0.41764787,-0.334063,0.17758875,6.5,17.087296,0.35576125000000003,0.07295125,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.1984964848717627,6.560980424859544]}"
30,0.048132499999999995,11,0.04076249999999999,-0.37276968,-0.25317937,0.1017025,0.0,0.44904384,0.17065875,0.04646874999999999,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.7938100236577696,6.580923024166997]}"
31,0.12329000000000001,8,0.10326999999999997,-0.2687936,-0.116444364,0.20386500000000002,0.0,0.73387486,0.2576,0.11748750000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.0201854752558885,6.5165138182956275]}"
32,0.0989525,10,0.10167500000000002,-0.26136318,-0.1928421,0.230265,0.0,0.6133801,0.34029250000000005,0.13484000000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.9986259084370204,6.5316055150688355]}"
33,0.09680749999999999,8,0.08897,-0.16583571,-0.18273261,0.09821000000000002,0.0,0.6437617,0.14212750000000002,0.07027,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.7059547888708804,6.525137645023174]}"
34,0.08498250000000002,8,0.07730999999999999,-0.3637163,-0.18899347,0.230705,0.0,0.88306713,0.33823,0.10764249999999997,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.046056955438531,6.632665984532282]}"
35,0.06874374999999999,12,0.05136375,-0.4329256,-0.37882262,0.1708925,0.0,0.80835646,0.37932875,0.06763,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.328756775350945,6.434587464383927]}"
36,0.0649075,9,0.04430999999999999,-0.43987793,-0.3656895,0.16869250000000002,23.0,5.73157,0.3632,0.06562249999999997,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.0672526218619005,6.514896850784212]}"
37,0.09049625,2,0.08656375,-0.27569047,-0.25845164,0.12289124999999998,0.0,1.5137879,0.20855375,0.06977499999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.79021218823944,6.438899377747701]}"
38,0.0836625,5,0.06841375,-0.3691709,-0.32109675,0.14559249999999999,0.0,0.4307602,0.28331249999999997,0.06708,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.26138312904198,6.431623023946333]}"
39,0.10934750000000001,8,0.11229,-0.20718335,0.01651894,0.27287625,0.0,0.8014154,0.2640075,0.17921125000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.990541070879945,6.5456192335011]}"
40,0.10717500000000002,12,0.10255500000000001,-0.22602782,-0.09598321,0.275585,6.5,9.467263,0.33410500000000004,0.17397250000000003,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.4599062325505434,6.679827536948556]}"
41,0.121805,47,0.11501250000000002,-0.27437308,-0.15029925,0.19006,0.0,1.5705286,0.2572975,0.10821999999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.605433308577906,6.6889903528465755]}"
42,0.0904275,7,0.09125250000000001,-0.3155747,-0.18402666,0.2405775,0.0,0.57595253,0.3490925,0.12516,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.275935836644717,6.413836381320766]}"
43,0.11971500000000002,32,0.11484749999999999,-0.2420521,-0.06357775,0.24525249999999998,5.0,4.258581,0.278555,0.14966249999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.724549915252154,6.648296670475961]}"
44,0.12729125,6,0.13710875,-0.17485066,0.036494326,0.2942575,0.0,1.5048245,0.27353625000000004,0.20667,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.2656950424057545,6.400361652058973]}"
45,0.0742025,16,0.06185499999999999,-0.28506413,-0.3332314,0.1362425,0.0,0.40551698,0.2724225,0.07579750000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.8237239226189494,6.573916164950865]}"
