system:index,Blue,Elevation,Green,NDBI,NDVI,NIR,NightLights,Population,Red,SWIR,Urban,.geo
1015,0.07621,10,0.07090250000000001,-0.37993404,-0.2576295,0.180435,17.0,13.960489,0.30567,0.0810775,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.1330093006594493,6.436473926480578]}"
1016,0.10568999999999998,13,0.09847125000000001,-0.2876427,-0.23633672,0.199245,0.0,1.2044498,0.32256875000000007,0.1102275,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.03635515037004,6.676054612755254]}"
1017,0.06834499999999999,16,0.048655000000000004,-0.3604062,-0.22603951,0.22857375000000002,0.0,0.57656634,0.36208625,0.10746375000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.8913670635131496,6.579036562070346]}"
1018,0.12432125,15,0.12286375,-0.2541889,-0.16011265,0.21248625000000002,47.0,7.6154227,0.29350125000000005,0.12635624999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.068330600202844,6.509506959079495]}"
1019,0.0687025,9,0.06955499999999998,-0.26150864,0.00839587,0.22625,12.0,4.042551,0.22248250000000003,0.1324475,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.7655130922080047,6.4712387279760035]}"
1020,0.06361499999999998,4,0.05701499999999998,-0.3969962,-0.33108526,0.09348000000000001,0.0,1.196193,0.1860175,0.04035,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.732270852413731,6.468813276708881]}"
1021,0.07313,13,0.06056250000000002,-0.3887407,-0.2920856,0.199135,0.0,1.126607,0.36346125,0.08765,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.9064587602863576,6.596823204695912]}"
1022,0.05019499999999999,14,0.04378750000000001,-0.40091473,-0.36013186,0.1470225,5.0,0.8076157,0.31251750000000006,0.0628725,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.729131323201164,6.52217320458558]}"
1023,0.05048374999999998,22,0.038576250000000006,-0.441995,-0.3577231,0.14271875,10.0,1.7932397,0.30169625,0.0552275,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.6922105650238515,6.646410208379311]}"
1024,0.08107750000000002,24,0.09072999999999998,-0.28255552,-0.10841395,0.24572,0.0,0.72714007,0.3054775,0.13745249999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.074892876058768,6.669047753539123]}"
1025,0.08077499999999999,9,0.07084750000000001,-0.38224387,-0.23410858,0.17984375,14.0,5.418469,0.28978875,0.08037624999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.5981569547765377,6.4359349373101065]}"
