system:index,Blue,Elevation,Green,NDBI,NDVI,NIR,NightLights,Population,Red,SWIR,Urban,.geo
0,0.06917000000000001,6,0.0711775,-0.22831294,0.44371936,0.21349,0.27,0.96249574,0.08226,0.134125,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.293183490099811,6.430275551020153]}"
1,0.03111,13,0.07568750000000002,-0.23806162,0.6036892,0.258645,0.73,3.0542808,0.06391750000000002,0.15917750000000003,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.923073018760717,6.452913096179965]}"
2,0.028772500000000006,2,0.05937999999999999,-0.3001487,0.46570778,0.18469750000000001,2.54,7.1889205,0.06732749999999998,0.09942000000000001,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.4235244635437025,6.567448294905204]}"
3,0.02995500000000001,14,0.059077500000000005,-0.2949733,0.6349314,0.270855,2.25,12.407778,0.06047999999999998,0.1474625,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.61297915696451,6.573107681195157]}"
4,0.03886500000000001,16,0.07208500000000001,-0.2410484,0.5744738,0.2628525,0.635,1.67828,0.07103999999999999,0.16074500000000003,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.147925908657685,6.424077175559729]}"
5,0.048655000000000004,11,0.07502750000000002,-0.21229793,0.44924396,0.22919250000000002,1.105,2.9491045,0.08710000000000001,0.14892,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.6404676046585673,6.626467609071857]}"
6,0.04629,12,0.05947625000000001,-0.25245598,0.59663177,0.26024,1.065,10.27745,0.06574625,0.1553275,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.026558939491286,6.418687283855012]}"
7,0.03377749999999999,23,0.06290000000000001,-0.32956624,0.67430204,0.3114725,0.365,2.917399,0.06058999999999998,0.15705999999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.886246666393668,6.62431165238997]}"
8,0.0713425,7,0.08936875,-0.31153134,0.41388875,0.294065,0.32,0.87075233,0.12190124999999999,0.154365,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.22500136003514,6.427850099753031]}"
9,0.0691425,13,0.08763625,-0.29924065,0.52483344,0.27205125,0.5,1.4059337,0.08477625,0.14673375,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.98757663044235,6.533761471750722]}"
10,0.0623775,11,0.11010375,-0.09536404,0.31043255,0.22726749999999998,3.63,14.231045,0.11959124999999998,0.187695,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2453885427028015,6.480671038459258]}"
11,0.028689999999999993,8,0.06537500000000002,-0.3515665,0.51584846,0.1982275,0.515,1.3888214,0.0633125,0.09510249999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.836390168125035,6.50923746449426]}"
12,0.08059625000000001,8,0.08254875,-0.3837597,0.3017604,0.19965750000000002,0.45999998,1.7483678,0.10709250000000001,0.088915,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.997547930096077,6.559632951933365]}"
13,0.05151499999999998,8,0.09507500000000002,-0.18836921,0.46289432,0.253035,18.869999,144.95883,0.0929025,0.1728175,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.3653136331327578,6.581731507922704]}"
14,0.08612375,7,0.12983499999999998,0.04488822,0.23102978,0.23668625,7.8450003,19.423254,0.1478475,0.25893374999999996,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.531861286808517,6.432970496872512]}"
15,0.05337125000000001,4,0.08065125000000001,-0.19058402,0.17775764,0.21195,0.365,4.4339094,0.14797125,0.14409375000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.223384392523725,6.408715984201285]}"
16,0.023519999999999985,21,0.05564000000000002,-0.23841904,0.57988906,0.21855000000000002,0.415,2.0459657,0.05811499999999997,0.13440000000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.815100095891402,6.640211832918886]}"
17,0.043072499999999986,19,0.0712875,-0.30289084,-0.14111573,0.16135,2.98,12.428756,0.21437,0.08633000000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.5685125504005937,6.65422555135115]}"
18,0.050841250000000004,6,0.06494875,-0.26349664,-0.04644113,0.23828125,0.39999998,1.2832476,0.26149125,0.13889625,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.8838212151265457,6.552895587302468]}"
19,0.03321375,14,0.06519624999999998,-0.29238954,0.60469973,0.2726425,1.505,8.0875225,0.06716250000000001,0.14927749999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.6159435974021044,6.437282410236286]}"
20,0.12522875,5,0.178015,0.06673983,0.20148411,0.33273,6.665,10.758583,0.221135,0.38031875000000004,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.004015800141738,6.4283890889235025]}"
21,0.0563825,-1,0.09757749999999998,-0.2632586,0.38546667,0.22941250000000002,0.39999998,2.6763668,0.1017575,0.133795,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.7654186863977412,6.452913096179965]}"
22,0.06039749999999999,8,0.059902500000000025,-0.38893104,0.18095061,0.20603749999999998,0.93,1.3107467,0.1428975,0.09064749999999999,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.1107356558951365,6.437282410236286]}"
23,0.027562500000000004,7,0.05646499999999999,-0.35286102,0.64063793,0.29036625000000005,0.39999998,8.147026,0.06360125,0.13889625,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.837104246070479,6.40709901668987]}"
24,0.034932500000000005,18,0.07585249999999999,-0.12238128,0.53137785,0.21992499999999998,0.36,1.70876,0.06729999999999997,0.17196499999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.864148110404328,6.664735840175348]}"
25,0.07556374999999999,11,0.10659750000000001,-0.2865586,0.37087572,0.28258375,0.42000002,2.3145409,0.12968375000000001,0.1567025,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.041475547489521,6.618921760685253]}"
26,0.059696250000000006,3,0.06813875,-0.41532305,0.44961235,0.31469,0.35500002,0.7559613,0.11948125000000001,0.13,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.20937067409146,6.442402807355767]}"
27,0.026558749999999992,12,0.06020499999999998,-0.21678558,0.60808295,0.20262750000000002,1.0699999,4.997766,0.04938374999999999,0.13042625,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.6585237418693697,6.651800100084027]}"
28,0.05060749999999997,5,0.10170249999999997,-0.28602117,0.50159705,0.287355,1.875,38.116627,0.0953775,0.15953499999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.1984964848717627,6.560980424859544]}"
29,0.0446125,11,0.07780500000000001,-0.24566105,0.49772397,0.2196225,0.39499998,0.7344095,0.07365250000000001,0.1329975,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.7938100236577696,6.580923024166997]}"
30,0.09617500000000001,8,0.08897,-0.2357387,0.21716459,0.2783625,0.59000003,1.7250102,0.17903249999999998,0.17215750000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.0201854752558885,6.5165138182956275]}"
31,0.0770075,10,0.09589999999999999,-0.22797452,0.47030216,0.2758875,0.515,1.8901464,0.0993925,0.17345,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.9986259084370204,6.5316055150688355]}"
32,0.040404999999999996,8,0.06283125,-0.16326265,0.3472419,0.16801875,0.555,1.2974288,0.0814075,0.12085625,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.7059547888708804,6.525137645023174]}"
33,0.07092999999999999,8,0.0986225,-0.25843984,0.35084736,0.2939275,0.34,2.156028,0.14124750000000003,0.17320249999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.046056955438531,6.632665984532282]}"
34,0.061524999999999996,12,0.06723124999999999,-0.3368454,0.28429258,0.29737875,0.235,2.3403285,0.1657225,0.1475175,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.328756775350945,6.434587464383927]}"
35,0.054705000000000004,9,0.06947249999999999,-0.22740449,0.44629323,0.22865625,4.16,9.207133,0.08754,0.14392875,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.0672526218619005,6.514896850784212]}"
36,0.047554999999999986,2,0.0838275,-0.12331769,0.47881123,0.24736999999999998,0.425,2.7646654,0.0871825,0.1930575,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.79021218823944,6.438899377747701]}"
37,0.08304375,5,0.09573499999999999,-0.34590974,0.13832934,0.21113875,0.275,0.55726403,0.15982375,0.10261,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.26138312904198,6.431623023946333]}"
38,0.1042325,8,0.12469249999999998,-0.13616675,0.2974615,0.25837,0.46,1.6722656,0.13990000000000002,0.19644,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.990541070879945,6.5456192335011]}"
39,0.09744,7,0.08571124999999999,-0.21444498,0.15135212,0.30228750000000004,0.325,0.773438,0.2228125,0.1955325,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.275935836644717,6.413836381320766]}"
40,0.091995,6,0.14683000000000002,0.015144088,0.20773034,0.23606749999999999,0.32999998,3.6597474,0.15486,0.24332750000000003,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.2656950424057545,6.400361652058973]}"
41,0.02792,16,0.06485249999999998,-0.24794838,0.60443544,0.231145,0.405,0.6654876,0.056987500000000024,0.139295,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.8237239226189494,6.573916164950865]}"
42,0.042192499999999994,6,0.07838250000000002,-0.15407428,0.5760518,0.26706,0.44,1.2954103,0.0718375,0.1957525,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.8800482909332437,6.539959847211147]}"
43,0.05745499999999998,18,0.08242500000000003,-0.10460114,0.4270713,0.2609275,0.985,2.8138072,0.10475499999999999,0.21150999999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.7056852942856446,6.659615443055867]}"
44,0.02826374999999999,6,0.05873375,-0.3413727,0.5404745,0.21141375,2.83,7.9370914,0.06306500000000001,0.10380624999999999,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.299287459749973,6.423538186389257]}"
45,0.07769500000000001,11,0.09422249999999999,-0.24250941,0.36261,0.240935,0.47,1.2225245,0.11270249999999998,0.146885,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.9476914318274434,6.538342879699732]}"
46,0.08088499999999998,20,0.07403749999999998,-0.34390286,-0.13603412,0.23045749999999998,0.435,1.3271571,0.30302999999999997,0.11251,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.032043237006267,6.664196851004877]}"
47,0.06877124999999998,5,0.09785249999999998,-0.1438079,0.34264046,0.2350225,7.11,0.7014475,0.11506750000000002,0.17592500000000003,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.988654608783294,6.479862554703551]}"
48,0.0776125,13,0.0794,-0.31186938,-0.1887694,0.16935250000000002,0.39,2.2045834,0.24816749999999999,0.08883249999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.8959484714621593,6.557476995251478]}"
49,0.042935,18,0.08352500000000002,-0.2295156,0.5680602,0.31290250000000003,3.645,44.279984,0.0861925,0.1960825,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.239459661827613,6.631588006191338]}"
50,0.06856499999999999,12,0.11108000000000001,-0.09662639,0.4642957,0.2818275,1.735,4.549237,0.103105,0.2321625,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.7884201319530524,6.481749016800202]}"
51,0.06347750000000002,14,0.06798749999999998,-0.30406785,0.33010238,0.2500925,0.265,0.8194293,0.1259575,0.133465,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.303963273509246,6.411680424638879]}"
52,0.023657499999999998,18,0.064,-0.42145124,0.4574462,0.15906750000000003,0.345,1.224916,0.05921500000000002,0.06474249999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.8404325869035727,6.661232410567282]}"
53,0.05920124999999998,14,0.09837500000000002,-0.111099206,0.27925345,0.220365,9.075,158.42888,0.12415625000000002,0.17629625,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.3168046077903037,6.555860027740063]}"
54,0.05595625000000001,8,0.1018125,-0.15580086,0.46173033,0.28387625,18.705002,2.1390414,0.10453500000000002,0.20734375000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.052255330898956,6.445636742378597]}"
55,0.07394125000000001,2,0.09099125,-0.14179848,0.1914306,0.18334999999999999,0.525,16.839678,0.12443125,0.13781000000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.0686000947880796,6.414375370491237]}"
56,0.023739999999999983,12,0.053027500000000005,-0.28474796,0.768713,0.25094500000000003,0.735,2.3132424,0.03281500000000001,0.13970749999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.7436840308039003,6.436204431895342]}"
57,0.05126750000000002,19,0.0897675,-0.07221884,0.43903792,0.22047499999999998,1.19,1.8702468,0.085945,0.19077500000000003,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.6304963050048404,6.636708403310819]}"
58,0.043182499999999985,16,0.07120500000000002,-0.3114995,0.4844904,0.2655475,0.77,1.3057004,0.09221499999999999,0.139405,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.8778923342513565,6.462614901248456]}"
59,0.03960749999999999,2,0.08309875,-0.17570208,0.5603503,0.25568875,5.675,60.893078,0.07204374999999999,0.17926625000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.4294533444188917,6.613801363565772]}"
60,0.04585,15,0.06972,-0.2786059,0.6613165,0.2904625,1.455,10.135331,0.05921500000000002,0.16388000000000003,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.990985654240153,6.431084034775861]}"
61,0.05819750000000001,6,0.08758125,-0.24282621,0.45365897,0.28230875,1.48,1.0570792,0.10610250000000002,0.1719925,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.9563152585549908,6.472855695487419]}"
62,0.034409999999999996,9,0.06504499999999999,-0.25403804,0.5014604,0.21879749999999998,0.48000002,0.7935477,0.07264875000000001,0.13015125,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.738563633684419,6.525407139608411]}"
63,0.03908500000000001,7,0.0924625,-0.19785841,0.49722043,0.213105,0.31,2.4676409,0.07156249999999997,0.14270500000000003,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.32255839989052,6.434856958969163]}"
64,0.04440625000000001,7,0.0686475,-0.2932873,0.53001046,0.2730275,1.785,3.3903022,0.08386874999999999,0.149195,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.086750637809145,6.432701002287276]}"
65,0.046908749999999985,9,0.07915249999999999,-0.26288766,0.38665786,0.2256725,3.575,15.259931,0.09981875000000001,0.13171875000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.077762910686099,6.49684071357341]}"
66,0.028662499999999994,15,0.0650175,-0.25400218,0.58156884,0.2401375,0.665,1.3002046,0.06353249999999999,0.14285625000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.8045898070672037,6.499535659425768]}"
67,0.06277625,30,0.08315375,-0.25380203,0.5178759,0.27201,0.625,7.1333375,0.08639875,0.16188625,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.9832647170785767,6.639133854577942]}"
68,0.039813749999999995,16,0.06426125000000002,-0.25437942,0.47001815,0.21558000000000002,0.515,0.9703707,0.0777225,0.12814375,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.726975366519277,6.524598655852703]}"
69,0.022172499999999984,20,0.06529249999999998,-0.31520683,0.6341865,0.2569125,0.39499998,1.7960337,0.057510000000000006,0.13376749999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.813213633794751,6.635091435799405]}"
70,0.05841750000000001,0,0.07783249999999997,-0.1890499,-0.1559747,0.0628725,0.70000005,5.1436124,0.08611000000000002,0.04288,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.0459625496282676,6.4132973921502945]}"
71,0.0493975,6,0.07801124999999998,-0.1559835,0.49632472,0.24364375000000002,0.305,3.4493325,0.08201249999999999,0.17789125,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.269737461184292,6.390390352405246]}"
72,0.06584250000000003,3,0.084515,-0.07139224,0.3948727,0.2185225,0.61,2.2905607,0.0948,0.1894,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.060340168456031,6.503847572789542]}"
73,0.055117499999999986,0,0.08344249999999998,-0.26310444,-0.11941707,0.14925,2.495,19.76633,0.18973,0.0870725,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.4652961242552602,6.638325370822234]}"
74,0.036032499999999995,16,0.05665749999999997,-0.22876054,0.5050402,0.2288075,0.42000002,2.6380777,0.07524750000000002,0.14361249999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.8630701320633847,6.582539991678412]}"
75,0.0339975,4,0.07171374999999999,-0.23580894,0.5399873,0.20836125,0.415,2.9263244,0.06224000000000002,0.12884500000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.865401177520244,6.480671038459258]}"
76,0.03351625,13,0.06468749999999998,-0.3263183,0.58982533,0.2361775,0.765,2.192685,0.06093375000000001,0.1199625,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.7889591211235243,6.4472537098900125]}"
77,0.034409999999999996,5,0.073735,-0.3612627,0.58852917,0.26035,0.385,1.3160717,0.06743749999999998,0.12216250000000001,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.207214717409573,6.430275551020153]}"
78,0.0812975,12,0.08155875000000001,-0.34737077,-0.19802709,0.1660525,0.45,1.8666664,0.2480575,0.08043125000000001,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.9118486519910745,6.589816345479781]}"
79,0.04397999999999999,3,0.091885,-0.1364048,0.46139336,0.24789250000000002,9.285,79.71067,0.09136250000000001,0.1883825,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.41004973428191,6.598709666792564]}"
80,0.1998225,10,0.251,-0.008669181,0.16451418,0.40795625,4.595,2.2266438,0.29269,0.40094375,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.041206052904286,6.460189449981334]}"
81,0.09675250000000002,6,0.08220499999999997,-0.33256423,0.32772857,0.32197749999999997,0.29500002,0.60462207,0.1630275,0.1612675,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.25949666694533,6.427580605167795]}"
82,0.045795,9,0.07659500000000002,-0.11143218,0.51567173,0.2509725,0.435,1.4391099,0.08019749999999998,0.20064749999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.832617243931733,6.5240596666822315]}"
83,0.029927499999999996,13,0.06323000000000001,-0.19713262,0.5720899,0.22795500000000002,0.78499997,1.3367268,0.06204749999999998,0.15288000000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.6806222978587098,6.506812013227137]}"
84,0.034684999999999994,11,0.047623750000000006,-0.32763997,0.328039,0.18227749999999998,0.355,1.4552752,0.09222875,0.09231124999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.8574107457734317,6.618652266100017]}"
85,0.06529249999999998,8,0.08286500000000002,-0.35069552,0.61130375,0.35137500000000005,0.475,0.6246397,0.08476250000000002,0.16891250000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.07085045728023,6.520825731659401]}"
86,0.08087125,10,0.082975,-0.3219485,-0.02426779,0.22860125,0.515,1.872706,0.2399725,0.11725374999999999,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.988115619612822,6.548314179353459]}"
87,0.041037500000000005,10,0.06375249999999999,-0.19266576,0.52272815,0.247095,0.615,1.1090878,0.0774475,0.16726249999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.687629157074842,6.518400280392278]}"
88,0.05741375000000001,53,0.08643999999999999,-0.09738381,0.38013166,0.23822625,0.5,1.7152437,0.10699625000000001,0.195945,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.734790709491117,6.681713999045208]}"
89,0.02814,5,0.05770249999999999,-0.33490786,0.5466061,0.20771499999999998,2.1550002,10.720619,0.060892500000000016,0.10349000000000003,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.1987659794569985,6.444019774867182]}"
90,0.05708374999999999,16,0.06431624999999999,-0.31690365,-0.04864657,0.1669875,0.58000004,0.9615766,0.184065,0.08661875000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.052524825484192,6.504117067374778]}"
91,0.07417499999999999,6,0.08822750000000001,-0.4452436,0.5009973,0.2840825,0.365,2.0587564,0.09444249999999998,0.109045,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.0441704933418805,6.610297933957705]}"
92,0.07072375,17,0.07748875,-0.32431585,0.3049315,0.26355375000000003,0.475,0.735463,0.14038124999999999,0.13446875,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.057645222603673,6.575263637877044]}"
93,0.03787499999999999,27,0.08078874999999999,-0.2100279,0.54582626,0.25068375,0.37,1.1602101,0.07365249999999998,0.16366,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.8296528034941386,6.681713999045208]}"
94,0.047967499999999996,4,0.05236750000000001,-0.29891235,0.19467597,0.14226499999999997,0.95000005,3.4462683,0.09589999999999999,0.07678750000000001,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.6679560523526247,6.4321620131168045]}"
95,0.02593999999999999,7,0.07016,-0.30964246,0.66117555,0.29962,0.525,3.0488367,0.061112500000000014,0.15794000000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.710980780180098,6.438629883162465]}"
96,0.08675624999999998,15,0.10856375000000001,-0.18929467,0.306843,0.294065,0.72,1.3941122,0.15597375,0.200455,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.993411105507276,6.51893926956275]}"
