system:index,Blue,Elevation,Green,NDBI,NDVI,NIR,NightLights,Population,Red,SWIR,Urban,.geo
0,0.02946,6,0.07240125,-0.34090057,0.7383979,0.3536575,0.11090635,0.94685507,0.05322,0.173835,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.293183490099811,6.430275551020153]}"
1,0.04817375,13,0.08927249999999998,-0.30960327,0.52221346,0.30974,0.6414033,2.7334096,0.09722,0.16328875,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.923073018760717,6.452913096179965]}"
2,0.040927500000000006,2,0.07511000000000001,-0.32680938,0.4828406,0.22608499999999998,1.9238241,7.798873,0.07884999999999998,0.11470999999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.4235244635437025,6.567448294905204]}"
3,0.03812249999999999,14,0.07970250000000001,-0.22599925,0.5642918,0.27691875,2.8997345,9.670174,0.07713125000000001,0.174825,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.61297915696451,6.573107681195157]}"
4,0.027865,16,0.058445000000000025,-0.30215,0.5926581,0.2634575,0.12637137,1.4118437,0.06738250000000001,0.1411925,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.147925908657685,6.424077175559729]}"
5,0.035235,11,0.06705249999999999,-0.27527973,0.5439337,0.23192875,0.6965966,2.3411627,0.06850999999999999,0.13180125,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.6404676046585673,6.626467609071857]}"
6,0.05096499999999998,12,0.08924500000000002,-0.28655443,0.56305337,0.29150750000000003,0.7213755,8.817572,0.08149,0.16165249999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.026558939491286,6.418687283855012]}"
7,0.041092500000000004,23,0.07818999999999998,-0.2905921,0.64065087,0.30814500000000006,0.09280534,2.8437996,0.06749250000000001,0.16937999999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.886246666393668,6.62431165238997]}"
8,0.030780000000000002,7,0.05807375000000001,-0.2856154,0.7194845,0.3087775,0.036609806,0.84450495,0.05037374999999998,0.17157999999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.22500136003514,6.427850099753031]}"
9,0.0628725,13,0.08422625,-0.24135704,0.5808001,0.28588375,0.12487967,1.2839744,0.07581125,0.174715,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.98757663044235,6.533761471750722]}"
10,0.03750375,11,0.07773624999999998,-0.28632805,0.41150165,0.2075225,3.6984463,10.903557,0.0865225,0.11513625,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2453885427028015,6.480671038459258]}"
